research_field,response
Other Statistics and Probability,"[
{
""topic_words"": [""nonparametric"", ""distribution"", ""rank"", ""sign"", ""test""],
""topic_label"": ""Nonparametric Methods""
},
{
""topic_words"": [""stochastic"", ""process"", ""time"", ""series"", ""markov""],
""topic_label"": ""Stochastic Processes""
},
{
""topic_words"": [""bayesian"", ""prior"", ""posterior"", ""inference"", ""mcmc""],
""topic_label"": ""Bayesian Statistical Inference""
},
{
""topic_words"": [""bootstrapping"", ""resampling"", ""variance"", ""estimate"", ""confidence""],
""topic_label"": ""Resampling and Bootstrapping""
},
{
""topic_words"": [""survival"", ""hazard"", ""censoring"", ""kaplan-meier"", ""time""],
""topic_label"": ""Survival Analysis Models""
},
{
""topic_words"": [""experimental"", ""design"", ""factor"", ""treatment"", ""anova""],
""topic_label"": ""Design of Experiments""
},
{
""topic_words"": [""spatial"", ""geostatistics"", ""kriging"", ""variogram"", ""point""],
""topic_label"": ""Spatial Statistics""
}
]"
Food Security,"[
{
""topic_words"": [""hunger"", ""malnutrition"", ""undernourishment"", ""dietary"", ""vulnerability""],
""topic_label"": ""Global Malnutrition and Undernourishment""
},
{
""topic_words"": [""access"", ""availability"", ""utilization"", ""stability"", ""dimensions""],
""topic_label"": ""Four Dimensions of Food Security""
},
{
""topic_words"": [""climate"", ""change"", ""adaptation"", ""resilience"", ""shocks""],
""topic_label"": ""Climate Resilience in Food Systems""
},
{
""topic_words"": [""smallholder"", ""farming"", ""yields"", ""livelihoods"", ""subsistence""],
""topic_label"": ""Smallholder Farming and Livelihoods""
},
{
""topic_words"": [""policy"", ""governance"", ""regulation"", ""trade"", ""subsidies""],
""topic_label"": ""Food Policy and Governance""
},
{
""topic_words"": [""waste"", ""loss"", ""supply"", ""chain"", ""sustainability""],
""topic_label"": ""Food Loss and Waste Reduction""
},
{
""topic_words"": [""urban"", ""agriculture"", ""gardening"", ""local"", ""production""],
""topic_label"": ""Urban Food Production Systems""
}
]"
Biological and Physical Anthropology,"[
{
""topic_words"": [""hominin"", ""bipedalism"", ""skeletal"", ""fossil"", ""evolution""],
""topic_label"": ""Hominin Evolution & Bipedalism""
},
{
""topic_words"": [""primate"", ""behavior"", ""ecology"", ""conservation"", ""ethology""],
""topic_label"": ""Primate Behavior and Ecology""
},
{
""topic_words"": [""archaeology"", ""skeletal"", ""trauma"", ""pathology"", ""burial""],
""topic_label"": ""Bioarchaeology and Paleopathology""
},
{
""topic_words"": [""genetics"", ""dna"", ""diversity"", ""population"", ""ancient""],
""topic_label"": ""Human Genetic Diversity""
},
{
""topic_words"": [""growth"", ""development"", ""adaptation"", ""nutrition"", ""health""],
""topic_label"": ""Human Biology and Adaptation""
},
{
""topic_words"": [""remains"", ""identification"", ""forensic"", ""taphonomy"", ""skeleton""],
""topic_label"": ""Forensic Anthropology""
},
{
""topic_words"": [""cranium"", ""postcranial"", ""measurement"", ""morphology"", ""variation""],
""topic_label"": ""Human Skeletal Variation""
}
]"
Folklore,"[
{
""topic_words"": [""narrative"", ""legend"", ""folktale"", ""myth"", ""oral""],
""topic_label"": ""Traditional Narrative Forms""
},
{
""topic_words"": [""ritual"", ""rite"", ""festival"", ""customs"", ""belief""],
""topic_label"": ""Rituals and Traditional Beliefs""
},
{
""topic_words"": [""material"", ""art"", ""architecture"", ""crafts"", ""foodways""],
""topic_label"": ""Folklore of Material Culture""
},
{
""topic_words"": [""proverb"", ""riddle"", ""joke"", ""slang"", ""speech""],
""topic_label"": ""Verbal Art and Speech""
},
{
""topic_words"": [""music"", ""song"", ""dance"", ""instrumentation"", ""ballad""],
""topic_label"": ""Traditional Music and Dance""
},
{
""topic_words"": [""urban"", ""contemporary"", ""internet"", ""modern"", ""digital""],
""topic_label"": ""Contemporary and Digital Folklore""
},
{
""topic_words"": [""ethnography"", ""fieldwork"", ""collection"", ""documentation"", ""community""],
""topic_label"": ""Folklore Fieldwork and Methods""
}
]"
Social and Cultural Anthropology,"[
{
""topic_words"": [""ethnography"", ""fieldwork"", ""participant"", ""observation"", ""methods""],
""topic_label"": ""Ethnographic Research Methods""
},
{
""topic_words"": [""ritual"", ""symbolism"", ""ceremony"", ""practice"", ""meaning""],
""topic_label"": ""Ritual and Symbolic Practices""
},
{
""topic_words"": [""kinship"", ""family"", ""marriage"", ""structure"", ""relations""],
""topic_label"": ""Kinship and Family Structures""
},
{
""topic_words"": [""globalization"", ""migration"", ""transnational"", ""flow"", ""cultural""],
""topic_label"": ""Globalization and Cultural Flows""
},
{
""topic_words"": [""power"", ""inequality"", ""hierarchy"", ""dynamics"", ""social""],
""topic_label"": ""Social Power and Inequality""
},
{
""topic_words"": [""language"", ""discourse"", ""communication"", ""linguistic"", ""culture""],
""topic_label"": ""Language and Cultural Communication""
},
{
""topic_words"": [""health"", ""illness"", ""healing"", ""medical"", ""practices""],
""topic_label"": ""Medical Anthropology and Health""
}
]"
Broadcast and Video Studies,"[
{
""topic_words"": [""streaming"", ""platform"", ""subscription"", ""binge-watching"", ""ott""],
""topic_label"": ""Digital Content Distribution Models""
},
{
""topic_words"": [""audience"", ""measurement"", ""ratings"", ""engagement"", ""analytics""],
""topic_label"": ""Audience Research and Metrics""
},
{
""topic_words"": [""convergence"", ""internet"", ""television"", ""mobile"", ""cross-platform""],
""topic_label"": ""Media Convergence Studies""
},
{
""topic_words"": [""regulation"", ""policy"", ""licensing"", ""fcc"", ""spectrum""],
""topic_label"": ""Broadcast Policy and Regulation""
},
{
""topic_words"": [""news"", ""journalism"", ""ethics"", ""misinformation"", ""trust""],
""topic_label"": ""Broadcast Journalism Ethics""
},
{
""topic_words"": [""production"", ""workflow"", ""post-production"", ""high-definition"", ""4k""],
""topic_label"": ""Video Production Technology""
},
{
""topic_words"": [""representation"", ""diversity"", ""gender"", ""race"", ""identity""],
""topic_label"": ""Media Representation and Diversity""
}
]"
"Gender, Race, Sexuality, and Ethnicity in","[
{
""topic_words"": [""intersectionality"", ""oppression"", ""privilege"", ""power"", ""identity""],
""topic_label"": ""Intersectionality and Power Dynamics""
},
{
""topic_words"": [""queer"", ""theory"", ""studies"", ""identities"", ""non-binary""],
""topic_label"": ""Queer Theory and Identities""
},
{
""topic_words"": [""racialization"", ""stereotypes"", ""representation"", ""media"", ""bias""],
""topic_label"": ""Racial Representation and Media""
},
{
""topic_words"": [""migration"", ""diaspora"", ""belonging"", ""citizenship"", ""transnational""],
""topic_label"": ""Migration and Transnational Identity""
},
{
""topic_words"": [""masculinities"", ""femininity"", ""performativity"", ""socialization"", ""patriarchy""],
""topic_label"": ""Gender and Performance""
},
{
""topic_words"": [""health"", ""disparities"", ""equity"", ""access"", ""marginalized""],
""topic_label"": ""Health Equity and Disparities""
},
{
""topic_words"": [""pedagogy"", ""curriculum"", ""inclusion"", ""decolonization"", ""education""],
""topic_label"": ""Inclusive Pedagogy and Curriculum""
}
]"
Health Communication,"[
{
""topic_words"": [""literacy"", ""comprehension"", ""patient"", ""information"", ""accessibility""],
""topic_label"": ""Health Literacy and Comprehension""
},
{
""topic_words"": [""social"", ""media"", ""campaigns"", ""messaging"", ""engagement""],
""topic_label"": ""Social Media Health Campaigns""
},
{
""topic_words"": [""risk"", ""crisis"", ""public"", ""preparedness"", ""disaster""],
""topic_label"": ""Risk and Crisis Communication""
},
{
""topic_words"": [""doctor"", ""patient"", ""interpersonal"", ""trust"", ""relationship""],
""topic_label"": ""Provider-Patient Communication""
},
{
""topic_words"": [""misinformation"", ""trust"", ""skepticism"", ""source"", ""credibility""],
""topic_label"": ""Misinformation and Trust""
},
{
""topic_words"": [""persuasion"", ""behavior"", ""promotion"", ""change"", ""intervention""],
""topic_label"": ""Health Behavior Change""
},
{
""topic_words"": [""culture"", ""diversity"", ""equity"", ""tailoring"", ""community""],
""topic_label"": ""Cultural Competence in Health""
}
]"
International and Intercultural Communication,"[
{
""topic_words"": [""globalization"", ""digital"", ""media"", ""technology"", ""flows""],
""topic_label"": ""Global Digital Communication""
},
{
""topic_words"": [""culture"", ""dimension"", ""context"", ""high-low"", ""cross-cultural""],
""topic_label"": ""Cross-Cultural Communication Models""
},
{
""topic_words"": [""identity"", ""negotiation"", ""belonging"", ""migration"", ""diaspora""],
""topic_label"": ""Identity and Diaspora Communication""
},
{
""topic_words"": [""conflict"", ""peacebuilding"", ""dialogue"", ""mediation"", ""diplomacy""],
""topic_label"": ""Communication in Conflict & Peace""
},
{
""topic_words"": [""linguistic"", ""translation"", ""interpretation"", ""nonverbal"", ""semiotics""],
""topic_label"": ""Linguistic and Nonverbal Studies""
},
{
""topic_words"": [""organizational"", ""management"", ""corporate"", ""multinational"", ""business""],
""topic_label"": ""Intercultural Business Communication""
},
{
""topic_words"": [""ethnocentrism"", ""prejudice"", ""stereotypes"", ""competence"", ""training""],
""topic_label"": ""Intercultural Competence & Training""
}
]"
Journalism Studies,"[
{
""topic_words"": [""trust"", ""misinformation"", ""disinformation"", ""verification"", ""credibility""],
""topic_label"": ""Media Trust and Misinformation""
},
{
""topic_words"": [""digital"", ""platforms"", ""algorithms"", ""audience"", ""metrics""],
""topic_label"": ""Digital Journalism and Platforms""
},
{
""topic_words"": [""ethics"", ""bias"", ""objectivity"", ""accountability"", ""standards""],
""topic_label"": ""Journalistic Ethics and Standards""
},
{
""topic_words"": [""business"", ""models"", ""revenue"", ""subscriptions"", ""sustainability""],
""topic_label"": ""Journalism Business Models""
},
{
""topic_words"": [""source"", ""interview"", ""reporting"", ""storytelling"", ""investigative""],
""topic_label"": ""Journalistic Practice and Reporting""
},
{
""topic_words"": [""citizens"", ""participation"", ""community"", ""local"", ""engagement""],
""topic_label"": ""Community and Citizen Journalism""
},
{
""topic_words"": [""freedom"", ""press"", ""law"", ""censorship"", ""regulation""],
""topic_label"": ""Press Freedom and Law""
}
]"
Organizational Communication,"[
{
""topic_words"": [""internal"", ""employee"", ""engagement"", ""morale"", ""strategy""],
""topic_label"": ""Internal Employee Communication Strategies""
},
{
""topic_words"": [""crisis"", ""management"", ""risk"", ""reputation"", ""response""],
""topic_label"": ""Crisis Communication and Management""
},
{
""topic_words"": [""leadership"", ""messaging"", ""influence"", ""executive"", ""transparency""],
""topic_label"": ""Leadership Communication and Transparency""
},
{
""topic_words"": [""culture"", ""values"", ""identity"", ""climate"", ""sensemaking""],
""topic_label"": ""Organizational Culture and Identity""
},
{
""topic_words"": [""virtual"", ""remote"", ""hybrid"", ""technology"", ""collaboration""],
""topic_label"": ""Remote and Virtual Communication""
},
{
""topic_words"": [""structure"", ""networks"", ""formal"", ""informal"", ""flow""],
""topic_label"": ""Communication Flow and Networks""
},
{
""topic_words"": [""change"", ""implementation"", ""resistance"", ""sensegiving"", ""transition""],
""topic_label"": ""Communicating Organizational Change""
}
]"
Public Relations and Advertising,"[
{
""topic_words"": [""crisis"", ""management"", ""reputation"", ""communication"", ""response""],
""topic_label"": ""Crisis Management and Response""
},
{
""topic_words"": [""social"", ""media"", ""influencer"", ""engagement"", ""digital""],
""topic_label"": ""Digital PR and Influencers""
},
{
""topic_words"": [""campaign"", ""strategy"", ""target"", ""audience"", ""measurement""],
""topic_label"": ""Advertising Campaign Strategy""
},
{
""topic_words"": [""media"", ""relations"", ""press"", ""release"", ""journalists""],
""topic_label"": ""Traditional Media Relations""
},
{
""topic_words"": [""brand"", ""identity"", ""storytelling"", ""equity"", ""perception""],
""topic_label"": ""Brand Identity and Storytelling""
},
{
""topic_words"": [""ethics"", ""transparency"", ""trust"", ""responsibility"", ""corporate""],
""topic_label"": ""Ethical Public Relations""
},
{
""topic_words"": [""segmentation"", ""psychographics"", ""demographics"", ""behavior"", ""consumer""],
""topic_label"": ""Audience Analysis and Segmentation""
}
]"
Publishing,"[
{
""topic_words"": [""peer"", ""review"", ""editorial"", ""submission"", ""journal""],
""topic_label"": ""Academic Journal Peer Review""
},
{
""topic_words"": [""digital"", ""e-books"", ""platforms"", ""distribution"", ""reading""],
""topic_label"": ""Digital Publishing and E-books""
},
{
""topic_words"": [""copyright"", ""licensing"", ""intellectual"", ""property"", ""piracy""],
""topic_label"": ""Copyright and Licensing Issues""
},
{
""topic_words"": [""marketing"", ""promotion"", ""sales"", ""audience"", ""discoverability""],
""topic_label"": ""Book Marketing and Sales""
},
{
""topic_words"": [""self"", ""independent"", ""author"", ""hybrid"", ""platform""],
""topic_label"": ""Self-Publishing Models""
},
{
""topic_words"": [""open"", ""access"", ""repositories"", ""scholarly"", ""equity""],
""topic_label"": ""Open Access Publishing""
},
{
""topic_words"": [""design"", ""typography"", ""layout"", ""production"", ""print""],
""topic_label"": ""Book Production and Design""
}
]"
Speech and Rhetorical Studies,"[
{
""topic_words"": [""ethos"", ""pathos"", ""logos"", ""persuasion"", ""audience""],
""topic_label"": ""Aristotelian Rhetorical Appeals""
},
{
""topic_words"": [""situation"", ""exigence"", ""audience"", ""constraints"", ""bitzer""],
""topic_label"": ""The Rhetorical Situation""
},
{
""topic_words"": [""metaphor"", ""simile"", ""anaphora"", ""irony"", ""devices""],
""topic_label"": ""Figures of Speech""
},
{
""topic_words"": [""delivery"", ""pitch"", ""diction"", ""inflection"", ""gestures""],
""topic_label"": ""Oral Speech Delivery""
},
{
""topic_words"": [""feminist"", ""gender"", ""power"", ""identity"", ""criticism""],
""topic_label"": ""Feminist Rhetoric and Criticism""
},
{
""topic_words"": [""argument"", ""claim"", ""evidence"", ""warrant"", ""reasoning""],
""topic_label"": ""Components of Argumentation""
},
{
""topic_words"": [""narrative"", ""storytelling"", ""fantasy"", ""coherence"", ""fidelity""],
""topic_label"": ""Narrative Rhetoric and Theory""
}
]"
Counselor Education,"[
{
""topic_words"": [""supervision"", ""practicum"", ""internship"", ""developmental"", ""feedback""],
""topic_label"": ""Clinical Supervision and Training""
},
{
""topic_words"": [""multicultural"", ""social-justice"", ""diversity"", ""equity"", ""advocacy""],
""topic_label"": ""Multicultural Counseling & Advocacy""
},
{
""topic_words"": [""accreditation"", ""standards"", ""curriculum"", ""pedagogy"", ""program""],
""topic_label"": ""Program Evaluation and Accreditation""
},
{
""topic_words"": [""ethics"", ""legal"", ""confidentiality"", ""informed"", ""boundary""],
""topic_label"": ""Ethical and Legal Practice""
},
{
""topic_words"": [""wellness"", ""prevention"", ""resilience"", ""self-care"", ""burnout""],
""topic_label"": ""Counselor Wellness and Prevention""
},
{
""topic_words"": [""career"", ""vocational"", ""development"", ""assessment"", ""exploration""],
""topic_label"": ""Career Counseling and Development""
},
{
""topic_words"": [""school"", ""mental"", ""community"", ""college"", ""rehabilitation""],
""topic_label"": ""Specialty Practice Areas""
}
]"
Econometrics,"[
{
""topic_words"": [""regression"", ""least"", ""squares"", ""ordinary"", ""estimation""],
""topic_label"": ""Regression Analysis Methods""
},
{
""topic_words"": [""time"", ""series"", ""ar-ima"", ""cointegration"", ""volatility""],
""topic_label"": ""Time Series Econometrics""
},
{
""topic_words"": [""instrumental"", ""variables"", ""endogeneity"", ""identification"", ""causality""],
""topic_label"": ""Instrumental Variables Estimation""
},
{
""topic_words"": [""panel"", ""data"", ""fixed"", ""effects"", ""random""],
""topic_label"": ""Panel Data Models""
},
{
""topic_words"": [""heteroskedasticity"", ""autocorrelation"", ""robust"", ""errors"", ""diagnostic""],
""topic_label"": ""Model Diagnostics and Correction""
},
{
""topic_words"": [""binary"", ""probit"", ""logit"", ""limited"", ""dependent""],
""topic_label"": ""Limited Dependent Variable Models""
},
{
""topic_words"": [""bayesian"", ""markov"", ""chain"", ""monte"", ""carlo""],
""topic_label"": ""Bayesian Econometric Methods""
}
]"
Economic History,"[
{
""topic_words"": [""industrialization"", ""factory"", ""technology"", ""steam"", ""labor""],
""topic_label"": ""The Industrial Revolution""
},
{
""topic_words"": [""slavery"", ""plantation"", ""cotton"", ""abolition"", ""trade""],
""topic_label"": ""Slavery and Economic Systems""
},
{
""topic_words"": [""monetary"", ""gold"", ""inflation"", ""currency"", ""banking""],
""topic_label"": ""Monetary and Banking History""
},
{
""topic_words"": [""agrarian"", ""feudalism"", ""land"", ""peasant"", ""crop""],
""topic_label"": ""Agrarian Economic Structures""
},
{
""topic_words"": [""depression"", ""crisis"", ""stock"", ""market"", ""recession""],
""topic_label"": ""Economic Crises and Depressions""
},
{
""topic_words"": [""colonization"", ""empire"", ""resource"", ""mercantilism"", ""tariff""],
""topic_label"": ""Colonial Economic Systems""
},
{
""topic_words"": [""inequality"", ""wealth"", ""income"", ""distribution"", ""poverty""],
""topic_label"": ""Historical Economic Inequality""
}
]"
Finance,"[
{
""topic_words"": [""equity"", ""debt"", ""capital"", ""structure"", ""valuation""],
""topic_label"": ""Corporate Capital Structure""
},
{
""topic_words"": [""stock"", ""market"", ""risk"", ""return"", ""portfolio""],
""topic_label"": ""Investment Portfolio Management""
},
{
""topic_words"": [""exchange"", ""rate"", ""flows"", ""global"", ""currency""],
""topic_label"": ""International Financial Markets""
},
{
""topic_words"": [""blockchain"", ""cryptocurrency"", ""ai"", ""banking"", ""digital""],
""topic_label"": ""Financial Technology (FinTech)""
},
{
""topic_words"": [""bias"", ""psychology"", ""investor"", ""decision"", ""aversion""],
""topic_label"": ""Behavioral Finance Theory""
},
{
""topic_words"": [""mergers"", ""acquisitions"", ""takeover"", ""synergy"", ""deal""],
""topic_label"": ""Mergers and Acquisitions""
},
{
""topic_words"": [""fixed"", ""income"", ""bond"", ""derivatives"", ""pricing""],
""topic_label"": ""Securities and Pricing""
}
]"
Growth and Development,"[
{
""topic_words"": [""child"", ""adolescent"", ""lifespan"", ""cognitive"", ""social""],
""topic_label"": ""Human Developmental Psychology""
},
{
""topic_words"": [""hormone"", ""cell"", ""differentiation"", ""organism"", ""regulatory""],
""topic_label"": ""Biological Growth Regulation""
},
{
""topic_words"": [""parenting"", ""attachment"", ""environment"", ""family"", ""influence""],
""topic_label"": ""Environmental Factors in Development""
},
{
""topic_words"": [""piaget"", ""vygotsky"", ""erikson"", ""stages"", ""theory""],
""topic_label"": ""Classical Developmental Theories""
},
{
""topic_words"": [""economic"", ""index"", ""inequality"", ""health"", ""sustainability""],
""topic_label"": ""Socio-Economic Development""
},
{
""topic_words"": [""prenatal"", ""embryo"", ""fetal"", ""differentiation"", ""morphogenesis""],
""topic_label"": ""Early Embryonic Development""
},
{
""topic_words"": [""motor"", ""physical"", ""skill"", ""milestone"", ""coordination""],
""topic_label"": ""Physical and Motor Development""
}
]"
Income Distribution,"[
{
""topic_words"": [""gini"", ""lorenz"", ""inequality"", ""measurement"", ""coefficient""],
""topic_label"": ""Income Inequality Measurement""
},
{
""topic_words"": [""taxation"", ""redistribution"", ""welfare"", ""policy"", ""transfer""],
""topic_label"": ""Redistributive Fiscal Policy""
},
{
""topic_words"": [""wage"", ""labor"", ""market"", ""earnings"", ""skill""],
""topic_label"": ""Labor Market and Earnings""
},
{
""topic_words"": [""wealth"", ""capital"", ""asset"", ""endowment"", ""accumulation""],
""topic_label"": ""Wealth Distribution Analysis""
},
{
""topic_words"": [""poverty"", ""threshold"", ""minimum"", ""line"", ""incidence""],
""topic_label"": ""Poverty and Measurement""
},
{
""topic_words"": [""household"", ""consumption"", ""expenditure"", ""saving"", ""unit""],
""topic_label"": ""Household Income and Consumption""
},
{
""topic_words"": [""modeling"", ""parametric"", ""regression"", ""asymmetric"", ""non-normal""],
""topic_label"": ""Statistical Income Modeling""
}
]"
Industrial Organization,"[
{
""topic_words"": [""oligopoly"", ""competition"", ""collusion"", ""game"", ""theory""],
""topic_label"": ""Oligopoly and Game Theory""
},
{
""topic_words"": [""regulation"", ""deregulation"", ""antitrust"", ""policy"", ""markets""],
""topic_label"": ""Competition Policy and Regulation""
},
{
""topic_words"": [""pricing"", ""discrimination"", ""strategies"", ""monopoly"", ""behavior""],
""topic_label"": ""Firm Pricing Strategies""
},
{
""topic_words"": [""mergers"", ""acquisitions"", ""innovation"", ""research"", ""development""],
""topic_label"": ""Innovation and Mergers""
},
{
""topic_words"": [""entry"", ""exit"", ""barriers"", ""market"", ""structure""],
""topic_label"": ""Market Entry and Structure""
},
{
""topic_words"": [""vertical"", ""integration"", ""contracts"", ""supply"", ""chains""],
""topic_label"": ""Vertical Relationships and Contracts""
},
{
""topic_words"": [""network"", ""externalities"", ""platforms"", ""digital"", ""economy""],
""topic_label"": ""Digital Markets and Platforms""
}
]"
Regional Economics,"[
{
""topic_words"": [""location"", ""firm"", ""industry"", ""agglomeration"", ""spatial""],
""topic_label"": ""Economic Geography and Location""
},
{
""topic_words"": [""migration"", ""labor"", ""mobility"", ""human"", ""capital""],
""topic_label"": ""Regional Labor Market Dynamics""
},
{
""topic_words"": [""urban"", ""rural"", ""development"", ""inequality"", ""cities""],
""topic_label"": ""Urban and Rural Development""
},
{
""topic_words"": [""growth"", ""policy"", ""convergence"", ""divergence"", ""regional""],
""topic_label"": ""Regional Economic Growth Policy""
},
{
""topic_words"": [""input-output"", ""model"", ""multiplier"", ""impact"", ""analysis""],
""topic_label"": ""Regional Economic Impact Analysis""
},
{
""topic_words"": [""housing"", ""land"", ""rent"", ""property"", ""market""],
""topic_label"": ""Regional Housing and Land Markets""
},
{
""topic_words"": [""transport"", ""infrastructure"", ""investment"", ""accessibility"", ""cost""],
""topic_label"": ""Regional Infrastructure and Transport""
}
]"
Human Geography,"[
{
""topic_words"": [""urbanization"", ""city"", ""growth"", ""planning"", ""development""],
""topic_label"": ""Urban Growth and Planning""
},
{
""topic_words"": [""migration"", ""refugee"", ""movement"", ""border"", ""displacement""],
""topic_label"": ""Human Migration and Displacement""
},
{
""topic_words"": [""culture"", ""landscape"", ""identity"", ""place"", ""perception""],
""topic_label"": ""Cultural Landscape and Identity""
},
{
""topic_words"": [""gentrification"", ""social"", ""inequality"", ""housing"", ""displacement""],
""topic_label"": ""Urban Social Inequality""
},
{
""topic_words"": [""gis"", ""mapping"", ""spatial"", ""analysis"", ""remote""],
""topic_label"": ""Geographic Spatial Analysis""
},
{
""topic_words"": [""political"", ""territory"", ""state"", ""geopolitics"", ""power""],
""topic_label"": ""Geopolitical and Territorial Power""
},
{
""topic_words"": [""population"", ""density"", ""distribution"", ""demographics"", ""change""],
""topic_label"": ""Population Distribution and Change""
}
]"
Nature and Society Relations,"[
{
""topic_words"": [""ecology"", ""social"", ""systems"", ""interaction"", ""coexistence""],
""topic_label"": ""Human-Environment Social Systems""
},
{
""topic_words"": [""conservation"", ""politics"", ""ethics"", ""management"", ""governance""],
""topic_label"": ""Environmental Policy and Governance""
},
{
""topic_words"": [""justice"", ""equity"", ""distribution"", ""vulnerability"", ""risk""],
""topic_label"": ""Environmental Justice and Equity""
},
{
""topic_words"": [""neoliberalism"", ""capitalism"", ""production"", ""treadmill"", ""commodification""],
""topic_label"": ""Sociological Theories of Nature""
},
{
""topic_words"": [""knowledge"", ""perception"", ""values"", ""attitudes"", ""behavior""],
""topic_label"": ""Societal Perceptions of Nature""
},
{
""topic_words"": [""cultural"", ""ecosystem"", ""landscape"", ""heritage"", ""meaning""],
""topic_label"": ""Cultural Ecology and Value""
},
{
""topic_words"": [""climate"", ""anthropocene"", ""adaptation"", ""resilience"", ""change""],
""topic_label"": ""Social Dimensions of Climate""
}
]"
Physical and Environmental Geography,"[
{
""topic_words"": [""landforms"", ""erosion"", ""deposition"", ""tectonics"", ""processes""],
""topic_label"": ""Earth Surface Processes""
},
{
""topic_words"": [""atmosphere"", ""circulation"", ""weather"", ""dynamics"", ""forecasting""],
""topic_label"": ""Atmospheric Science & Dynamics""
},
{
""topic_words"": [""hydrology"", ""water"", ""catchment"", ""runoff"", ""streamflow""],
""topic_label"": ""Water Resources and Flow""
},
{
""topic_words"": [""vegetation"", ""ecosystems"", ""biogeography"", ""ecology"", ""distribution""],
""topic_label"": ""Ecological Biogeography""
},
{
""topic_words"": [""glacier"", ""ice"", ""permafrost"", ""cryosphere"", ""melting""],
""topic_label"": ""Glacial and Ice Dynamics""
},
{
""topic_words"": [""soil"", ""pedology"", ""horizon"", ""formation"", ""classification""],
""topic_label"": ""Soil Formation & Analysis""
},
{
""topic_words"": [""gis"", ""mapping"", ""remote"", ""sensing"", ""geospatial""],
""topic_label"": ""Geospatial Data Techniques""
}
]"
Remote Sensing,"[
{
""topic_words"": [""satellite"", ""imagery"", ""spectral"", ""resolution"", ""sensor""],
""topic_label"": ""Satellite Imagery and Sensors""
},
{
""topic_words"": [""lidar"", ""point"", ""cloud"", ""elevation"", ""topography""],
""topic_label"": ""Lidar Sensing and Topography""
},
{
""topic_words"": [""electromagnetic"", ""spectrum"", ""passive"", ""active"", ""radiation""],
""topic_label"": ""Electromagnetic Spectrum Sensing""
},
{
""topic_words"": [""gis"", ""geospatial"", ""mapping"", ""analysis"", ""data""],
""topic_label"": ""Geospatial Data Analysis (GIS)""
},
{
""topic_words"": [""land"", ""cover"", ""use"", ""change"", ""classification""],
""topic_label"": ""Land Cover Change Detection""
},
{
""topic_words"": [""atmosphere"", ""aerosol"", ""optical"", ""thickness"", ""modeling""],
""topic_label"": ""Atmospheric Remote Sensing""
},
{
""topic_words"": [""microwave"", ""radar"", ""sar"", ""backscatter"", ""penetration""],
""topic_label"": ""Synthetic Aperture Radar (SAR)""
}
]"
Spatial Science,"[
{
""topic_words"": [""geospatial"", ""data"", ""analysis"", ""mapping"", ""systems""],
""topic_label"": ""Geospatial Data Analysis""
},
{
""topic_words"": [""remote"", ""sensing"", ""satellite"", ""imagery"", ""acquisition""],
""topic_label"": ""Remote Sensing and Imagery""
},
{
""topic_words"": [""cartography"", ""visualization"", ""map"", ""design"", ""representation""],
""topic_label"": ""Cartographic Visualization and Design""
},
{
""topic_words"": [""gps"", ""gnss"", ""positioning"", ""navigation"", ""location""],
""topic_label"": ""Global Positioning Systems""
},
{
""topic_words"": [""modeling"", ""simulation"", ""spatial"", ""patterns"", ""processes""],
""topic_label"": ""Spatial Modeling and Simulation""
},
{
""topic_words"": [""lidar"", ""point"", ""cloud"", ""elevation"", ""scanning""],
""topic_label"": ""LiDAR Point Cloud Analysis""
},
{
""topic_words"": [""geostatistics"", ""interpolation"", ""variogram"", ""kriging"", ""uncertainty""],
""topic_label"": ""Geostatistical Analysis Techniques""
}
]"
African Studies,"[
{
""topic_words"": [""postcolonialism"", ""decolonization"", ""neocolonialism"", ""sovereignty"", ""independence""],
""topic_label"": ""Postcolonial and Decolonial Theory""
},
{
""topic_words"": [""oral"", ""folklore"", ""storytelling"", ""griot"", ""tradition""],
""topic_label"": ""African Oral Traditions""
},
{
""topic_words"": [""migration"", ""diaspora"", ""mobility"", ""remittances"", ""transnational""],
""topic_label"": ""African Migration and Diaspora""
},
{
""topic_words"": [""resource"", ""extractivism"", ""land"", ""oil"", ""conflict""],
""topic_label"": ""Resource Politics and Conflict""
},
{
""topic_words"": [""language"", ""linguistics"", ""multilingualism"", ""creole"", ""bantu""],
""topic_label"": ""African Languages and Linguistics""
},
{
""topic_words"": [""film"", ""nollywood"", ""cinema"", ""media"", ""visual""],
""topic_label"": ""African Cinema and Media""
},
{
""topic_words"": [""precolonial"", ""kingdoms"", ""empires"", ""trade"", ""archaeology""],
""topic_label"": ""Precolonial African History""
}
]"
